AndI     |00 45 39.7 +38 02 15.0|-11.2|0.2|0.2|0.047|0.28|0.03| 30| 4|3.9|0.1 | 10.4|0.9|1, 2
AndII    |01 16 26.8 +33 26 07.0|-11.6|0.2|0.2|0.063|0.16|0.02| 31| 5|5.3|0.1 | 22.0|1.0|1, 2
AndIII   |00 35 30.9 +36 29 56.0| -9.5|0.3|0.3|0.050|0.59|0.04|140| 3|2.0|0.2 |  7.2|1.2|1, 2
AndXV    |01 14 18.3 +38 07 11.0| -8.0|0.4|0.3|0.041|0.24|0.10| 38|15|1.3|0.1 |~ 5.7|   |1, 3
AndXVI   |00 59 30.3 +32 22 34.0| -7.3|0.3|0.3|0.066|0.29|0.08| 98| 9|1.0|0.1 |~ 4.3|   |1, 3
AndXXVIII|22 32 41.5 +31 13 03.7| -8.7|0.4|0.4|0.080|0.43|0.02| 34| 1|1.2|0.01|~18.0|   |4, 5
