AndI     -V036  0 45 32.864 +38 01 27.97 0.571 25.490 1.134 24.752 0.549 25.604 1.224 25.212 0.910 24.737 0.545 RRab    ACS
AndI     -V037  0 45 33.039 +38 01 48.02 0.550 25.506 0.939 24.740 0.390 25.616 1.054 25.246 0.673 24.724 0.398 RRab    ACS
AndI     -V038  0 45 33.254 +38 01 33.00 0.537 25.466 1.503 24.755 0.805 25.564 1.621 25.252 1.211 24.745 0.807 RRab    ACS
AndI     -V039  0 45 33.414 +38 01 31.61 0.622 25.564 0.675 24.713 0.438 25.701 0.713 25.264 0.611 24.698 0.442 RRab    ACS
AndI     -V040  0 45 33.438 +38 01 57.06 0.505 25.448 0.905 24.729 0.436 25.565 1.007 25.191 0.649 24.716 0.430 RRab    ACS
AndI     -V041  0 45 33.520 +38 01 22.96 0.578 25.555 1.041 24.772 0.459 25.674 1.156 25.283 0.834 24.758 0.464 RRab    ACS
AndI     -V042  0 45 33.642 +38 01 51.55 0.534 25.464 1.109 24.733 0.649 25.575 1.220 25.229 1.050 24.730 0.674 RRab    ACS
AndI     -V043  0 45 33.863 +38 02 00.18 0.571 25.459 1.094 24.673 0.518 25.582 1.211 25.189 0.837 24.661 0.514 RRab    ACS
AndI     -V044  0 45 33.900 +38 01 39.55 0.532 25.471 1.171 24.721 0.738 25.578 1.275 25.220 0.981 24.705 0.740 RRab    ACS
AndI     -V045  0 45 34.105 +38 01 59.97 0.429 25.396 0.243 24.448 0.193 25.551 0.267 25.068 0.213 24.436 0.196 RRd     ACS
AndI     -V046  0 45 34.233 +38 02 03.93 0.504 25.390 1.608 24.744 0.664 25.522 1.673 25.140 1.366 24.728 0.667 RRab    ACS
AndI     -V047  0 45 34.242 +38 01 45.00 0.803 25.293 0.463 24.427 0.284 25.427 0.498 24.995 0.404 24.413 0.288 RRab    ACS
AndI     -V048  0 45 34.272 +38 02 33.80 0.635 25.156 0.657 23.970 0.213 25.362 0.782 24.764 0.490 23.973 0.232 RRab    ACS
AndI     -V049  0 45 34.345 +38 02 06.98 0.550 25.447 1.305 24.706 0.622 25.561 1.446 25.240 1.015 24.697 0.639 RRab    ACS
AndI     -V050  0 45 34.526 +38 01 26.82 0.337 25.483 0.295 24.774 0.122 25.583 0.330 25.237 0.226 24.757 0.121 RRd     ACS
AndI     -V051  0 45 34.655 +38 01 30.75 0.672 25.374 1.023 24.541 0.490 25.500 1.131 25.093 0.826 24.527 0.498 RRab    ACS
AndI     -V052  0 45 34.845 +38 01 14.15 0.561 25.479 1.284 24.740 0.725 25.585 1.399 25.239 1.052 24.730 0.700 RRab    ACS
AndI     -V053  0 45 34.893 +38 02 03.49 0.616 25.801 0.702 24.927 0.408 25.933 0.766 25.506 0.599 24.926 0.393 GSS-RRL ACS
AndI     -V054  0 45 34.902 +38 02 17.78 0.334 25.319 0.665 24.737 0.415 25.401 0.698 25.129 0.573 24.723 0.410 RRc     ACS
AndI     -V055  0 45 35.164 +38 02 23.42 0.596 25.483 0.707 24.664 0.482 25.612 0.782 25.193 0.620 24.648 0.481 RRab    ACS
AndI     -V056  0 45 35.190 +38 01 24.40 0.560 25.484 1.197 24.657 0.671 25.599 1.350 25.210 0.965 24.645 0.673 RRab    ACS
AndI     -V057  0 45 35.534 +38 01 15.01 0.692 25.243 0.905 24.434 0.580 25.353 1.046 24.988 0.757 24.424 0.586 RRab    ACS
AndI     -V058  0 45 35.659 +38 01 20.72 0.360 25.418 0.455 24.770 0.299 25.511 0.484 25.195 0.390 24.753 0.301 RRc     ACS
AndI     -V059  0 45 35.704 +38 02 37.44 0.595 25.453 0.990 24.633 0.415 25.578 1.088 25.176 0.810 24.621 0.405 RRab    ACS
AndI     -V060  0 45 35.779 +38 02 29.65 0.578 25.413 0.859 24.614 0.455 25.538 0.961 25.132 0.664 24.598 0.586 RRab    ACS
