scl-CEMV556  -      -     01 01 05.12 -33 46 00.9 0.2784994    19.905 19.488 18.866 0.129 0.108 0.031 4 0
scl-CEMV561  -      -     01 01 06.68 -33 54 46.9 0.06166818   18.408 18.150 17.723 0.234 0.197 0.092 4 0
scl-CEMV600  -      -     01 01 31.04 -33 25 12.4 0.04672141   19.151 18.963 18.651 0.409 0.316 0.188 3 0
