scl-CEMV029  -      -     00 58 31.92 -33 58 19.6 0.665435     19.949 19.663 19.135 1.433 1.114 0.648 0 1
scl-CEMV048  V372   -     00 58 50.94 -33 49 31.6 0.4317936    19.885 19.699 19.269 1.021 0.724 0.493 2 0
scl-CEMV482  V152   -     01 00 36.18 -33 45 40.7 0.7305012    20.068 19.716 19.185 1.245 0.931 0.615 0 1
