V0	00:59:24.38	32:22:33.14	ab	0.622	25.582	0.889	24.682	0.431	25.727	0.990	25.244	0.767	24.670	0.446
V1	00:59:25.33	32:22:16.09	c	0.358	24.568	0.641	23.875	0.399	24.681	0.725	24.328	0.538	23.857	0.397
V2	00:59:27.97	32:22:57.56	c	0.391	24.560	0.557	23.831	0.284	24.668	0.616	24.308	0.454	23.812	0.290
V3	00:59:29.43	32:22:25.88	c	0.350	24.569	0.541	23.892	0.358	24.667	0.573	24.325	0.480	23.873	0.361
V4	00:59:30.84	32:22:13.99	ab	0.617	24.623	0.840	23.751	0.589	24.741	0.969	24.313	0.810	23.735	0.600
V5	00:59:34.27	32:21:59.43	ab	0.638	24.594	1.200	23.747	0.655	24.717	1.182	24.323	0.978	23.731	0.667
V6	00:59:36.07	32:23:16.33	c	0.399	24.586	0.444	23.870	0.216	24.694	0.478	24.342	0.390	23.851	0.217
V7	00:59:37.51	32:22:10.07	c	0.288	24.668	0.300	24.150	0.161	24.736	0.316	24.495	0.251	24.134	0.157
V8	00:59:38.10	32:23:15.76	ab	0.651	24.608	0.673	23.783	0.427	24.734	0.719	24.327	0.574	23.767	0.432
