ACS  01 16 23.8 +33 26 05.5 jc1d01wfq_flc.fits 2013 10 04 03 50 09 F475W  1280
ACS  01 16 23.8 +33 26 05.5 jc1d01whq_flc.fits 2013 10 04 04 14 26 F814W   987
ACS  01 16 23.8 +33 26 05.5 jc1d01x5q_flc.fits 2013 10 04 05 21 50 F814W  1100
ACS  01 16 23.8 +33 26 05.5 jc1d01x9q_flc.fits 2013 10 04 05 43 08 F475W  1359
ACS  01 16 23.8 +33 26 05.5 jc1d02ycq_flc.fits 2013 10 04 10 12 02 F475W  1280
ACS  01 16 23.8 +33 26 05.5 jc1d02yeq_flc.fits 2013 10 04 10 36 19 F814W   987
ACS  01 16 23.8 +33 26 05.5 jc1d02yhq_flc.fits 2013 10 04 11 44 29 F814W  1100
ACS  01 16 23.8 +33 26 05.5 jc1d02ylq_flc.fits 2013 10 04 12 05 47 F475W  1359
ACS  01 16 23.8 +33 26 05.5 jc1d03bjq_flc.fits 2013 10 05 02 09 22 F475W  1280
ACS  01 16 23.8 +33 26 05.5 jc1d03blq_flc.fits 2013 10 05 02 33 39 F814W   987
ACS  01 16 23.8 +33 26 05.5 jc1d03c9q_flc.fits 2013 10 05 03 41 03 F814W  1100
ACS  01 16 23.8 +33 26 05.5 jc1d03cdq_flc.fits 2013 10 05 04 02 21 F475W  1359
ACS  01 16 23.8 +33 26 05.5 jc1d04dnq_flc.fits 2013 10 05 11 43 17 F475W  1280
ACS  01 16 23.8 +33 26 05.5 jc1d04dpq_flc.fits 2013 10 05 12 07 34 F814W   987
ACS  01 16 23.8 +33 26 05.5 jc1d04dsq_flc.fits 2013 10 05 13 14 59 F814W  1100
ACS  01 16 23.8 +33 26 05.5 jc1d04dwq_flc.fits 2013 10 05 13 36 17 F475W  1359
ACS  01 16 23.8 +33 26 05.5 jc1d05ebq_flc.fits 2013 10 05 16 30 16 F475W  1280
ACS  01 16 23.8 +33 26 05.5 jc1d05edq_flc.fits 2013 10 05 16 54 33 F814W   987
ACS  01 16 23.8 +33 26 05.5 jc1d05egq_flc.fits 2013 10 05 18 01 58 F814W  1100
ACS  01 16 23.8 +33 26 05.5 jc1d05ekq_flc.fits 2013 10 05 18 23 16 F475W  1359
ACS  01 16 23.8 +33 26 05.5 jc1d06etq_flc.fits 2013 10 05 21 17 12 F475W  1280
ACS  01 16 23.8 +33 26 05.5 jc1d06evq_flc.fits 2013 10 05 21 41 29 F814W   987
ACS  01 16 23.8 +33 26 05.5 jc1d06eyq_flc.fits 2013 10 05 22 48 55 F814W  1100
ACS  01 16 23.8 +33 26 05.5 jc1d06f2q_flc.fits 2013 10 05 23 10 13 F475W  1359
ACS  01 16 23.8 +33 26 05.5 jc1d07g6q_flc.fits 2013 10 06 02 04 10 F475W  1280
ACS  01 16 23.8 +33 26 05.5 jc1d07g8q_flc.fits 2013 10 06 02 28 27 F814W   987
ACS  01 16 23.8 +33 26 05.5 jc1d07ghq_flc.fits 2013 10 06 03 35 52 F814W  1100
ACS  01 16 23.8 +33 26 05.5 jc1d07glq_flc.fits 2013 10 06 03 57 10 F475W  1359
ACS  01 16 23.8 +33 26 05.5 jc1d08imq_flc.fits 2013 10 06 13 13 44 F475W  1280
ACS  01 16 23.8 +33 26 05.5 jc1d08ioq_flc.fits 2013 10 06 13 38 01 F814W   987
ACS  01 16 23.8 +33 26 05.5 jc1d08irq_flc.fits 2013 10 06 14 45 25 F814W  1100
ACS  01 16 23.8 +33 26 05.5 jc1d08ivq_flc.fits 2013 10 06 15 06 43 F475W  1359
ACS  01 16 23.8 +33 26 05.5 jc1d08iyq_flc.fits 2013 10 06 16 21 05 F475W  1360
ACS  01 16 23.8 +33 26 05.5 jc1d08j2q_flc.fits 2013 10 06 16 46 42 F814W  1100
WFC3 01 16 04.4 +33 21 31.7 ic1d01wgq_flc.fits 2013 10 04 03 49 14 F475W  1350
WFC3 01 16 04.4 +33 21 31.7 ic1d01wiq_flc.fits 2013 10 04 04 14 12 F814W  1122
WFC3 01 16 04.4 +33 21 31.7 ic1d01x6q_flc.fits 2013 10 04 05 21 45 F814W  1200
WFC3 01 16 04.4 +33 21 31.7 ic1d01xbq_flc.fits 2013 10 04 05 44 19 F475W  1409
WFC3 01 16 04.4 +33 21 31.7 ic1d02ydq_flc.fits 2013 10 04 10 11 07 F475W  1350
WFC3 01 16 04.4 +33 21 31.7 ic1d02yfq_flc.fits 2013 10 04 10 36 05 F814W  1122
WFC3 01 16 04.4 +33 21 31.7 ic1d02yiq_flc.fits 2013 10 04 11 44 24 F814W  1200
WFC3 01 16 04.4 +33 21 31.7 ic1d02ynq_flc.fits 2013 10 04 12 06 58 F475W  1409
WFC3 01 16 04.4 +33 21 31.7 ic1d03bkq_flc.fits 2013 10 05 02 08 27 F475W  1350
WFC3 01 16 04.4 +33 21 31.7 ic1d03bmq_flc.fits 2013 10 05 02 33 25 F814W  1122
WFC3 01 16 04.4 +33 21 31.7 ic1d03caq_flc.fits 2013 10 05 03 40 58 F814W  1200
WFC3 01 16 04.4 +33 21 31.7 ic1d03cfq_flc.fits 2013 10 05 04 03 32 F475W  1409
WFC3 01 16 04.4 +33 21 31.7 ic1d04doq_flc.fits 2013 10 05 11 42 22 F475W  1350
WFC3 01 16 04.4 +33 21 31.7 ic1d04dqq_flc.fits 2013 10 05 12 07 20 F814W  1122
WFC3 01 16 04.4 +33 21 31.7 ic1d04dtq_flc.fits 2013 10 05 13 14 54 F814W  1200
WFC3 01 16 04.4 +33 21 31.7 ic1d04dyq_flc.fits 2013 10 05 13 37 28 F475W  1409
