AndXXVIII -V004 57045.928885 25.706 0.039 57045.944046 24.874 0.057
AndXXVIII -V004 57046.002310 25.765 0.047 57045.986025 24.835 0.059
AndXXVIII -V004 57046.061499 25.495 0.048 57046.076661 24.714 0.050
AndXXVIII -V004 57046.134994 25.238 0.034 57046.118709 24.594 0.058
AndXXVIII -V004 57046.923494 25.227 0.035 57046.938656 24.618 0.041
AndXXVIII -V004 57046.997347 25.565 0.036 57046.981063 24.731 0.046
AndXXVIII -V004 57047.056108 25.731 0.043 57047.071270 24.810 0.052
AndXXVIII -V004 57047.130008 25.747 0.040 57047.113724 24.913 0.072
AndXXVIII -V005 57043.010749 25.427 0.033 57043.025911 24.567 0.040
AndXXVIII -V005 57043.082797 25.648 0.047 57043.066513 24.679 0.063
AndXXVIII -V005 57043.209741 25.871 0.051 57043.224903 24.794 0.052
AndXXVIII -V005 57043.281893 25.622 0.093 57043.265608 24.807 0.040
AndXXVIII -V005 57044.204663 25.566 0.065 57044.219825 24.612 0.042
AndXXVIII -V005 57044.277290 25.750 0.051 57044.261005 24.630 0.069
AndXXVIII -V005 57044.337289 25.889 0.073 57044.352451 24.823 0.043
AndXXVIII -V005 57044.412127 25.850 0.061 57044.395842 24.866 0.061
AndXXVIII -V005 57045.007156 25.833 0.067 57044.949321 24.826 0.065
AndXXVIII -V005 57044.934159 25.926 0.062 57044.990872 24.826 0.048
AndXXVIII -V005 57045.066797 25.828 0.065 57045.081959 24.856 0.047
AndXXVIII -V005 57045.139852 24.929 0.067 57045.123567 24.459 0.058
AndXXVIII -V005 57045.928885 25.655 0.042 57045.944046 24.712 0.053
AndXXVIII -V005 57046.002310 25.837 0.065 57045.986025 24.771 0.054
AndXXVIII -V005 57046.061499 25.795 0.059 57046.076661 24.708 0.061
AndXXVIII -V005 57046.134994 25.795 0.060 57046.118709 24.721 0.048
AndXXVIII -V005 57046.923494 25.290 0.054 57046.938656 24.565 0.045
AndXXVIII -V005 57046.997347 25.209 0.126 57046.981063 24.628 0.042
AndXXVIII -V005 57047.056108 25.696 0.058 57047.071270 24.778 0.050
AndXXVIII -V005 57047.130008 25.825 0.044 57047.113724 24.762 0.057
AndXXVIII -V006 57043.010749 25.525 0.065 57043.025911 24.659 0.071
AndXXVIII -V006 57043.082797 25.678 0.145 57043.066513 24.592 0.063
AndXXVIII -V006 57043.209741 25.892 0.070 57043.224903 24.792 0.068
AndXXVIII -V006 57043.281893 25.858 0.049 57043.265608 24.873 0.062
AndXXVIII -V006 57044.204663 25.694 0.067 57044.219825 24.785 0.048
AndXXVIII -V006 57044.277290 25.988 0.102 57044.261005 24.881 0.062
AndXXVIII -V006 57044.337289 25.952 0.079 57044.352451 24.829 0.068
AndXXVIII -V006 57044.412127 25.850 0.047 57044.395842 24.957 0.077
AndXXVIII -V006 57045.007156 24.823 0.065 57044.949321 25.003 0.082
AndXXVIII -V006 57044.934159 26.027 0.084 57044.990872 24.595 0.072
