scl-CEMV160  V119   K734  00 59 33.93 -33 39 31.0 1.1577836    19.221 18.880 18.284 0.703 0.647 0.343 0 1 F
scl-CEMV284  V25    -     00 59 58.53 -33 33 42.2 0.9255408    19.095 18.812 18.379 1.600 1.195 0.737 0 1 F
scl-CEMV388  V26    K3302 01 00 16.64 -33 47 57.4 1.3460368    19.007 18.623 18.097 1.045 0.863 0.536 0 1 F
scl-CEMV447  K5689  -     01 00 30.32 -33 41 42.5 0.8554217    19.472 19.133 18.617 0.941 0.715 0.381 2 0 F
