Galaxy,Star,Period (Days)
AndI,V264,0.5770000000000001
AndI,V265,0.5429999999999999
AndI,V266,0.348
AndI,V267,0.675
AndI,V268,0.581
AndI,V269,0.569
AndI,V270,0.59
AndI,V271,0.353
AndI,V272,0.619
AndI,V273,0.5870000000000001
AndI,V274,0.672
AndI,V275,0.7190000000000001
AndI,V276,0.551
AndI,V277,0.353
AndI,V278,0.361
AndI,V279,0.5720000000000001
AndI,V280,0.294
AndI,V281,0.536
AndI,V282,0.635
AndI,V283,0.675
AndI,V284,0.58
AndI,V285,0.598
AndI,V286,0.38299999999999995
AndI,V287,0.6709999999999999
AndI,V288,0.612
AndI,V289,0.56
AndI,V290,0.597
AndI,V291,0.5579999999999999
AndI,V292,0.5760000000000001
AndI,V293,0.371
AndI,V294,0.5
AndI,V295,0.295
AndI,V296,0.358
AndI,V297,0.494
AndI,V298,0.629
AndI,V299,0.588
AndI,V300,0.606
AndI,V301,0.5579999999999999
AndI,V302,0.377
AndII,V001,0.332
AndII,V002,0.601
AndII,V003,0.625
AndII,V004,0.6629999999999999
AndII,V005,0.769
AndII,V006,0.59
AndII,V007,0.606
AndII,V008,0.622
AndII,V009,0.345
AndII,V010,0.38799999999999996
AndII,V011,0.612
AndII,V012,0.64
AndII,V013,0.35700000000000004
AndII,V014,0.621
AndII,V015,0.57
AndII,V016,0.556
AndII,V017,0.34700000000000003
AndII,V018,0.5720000000000001
AndII,V019,0.6409999999999999
AndII,V020,0.7509999999999999
AndII,V021,0.629
AndII,V022,0.664
AndII,V023,0.6
AndII,V024,0.7070000000000001
AndII,V025,0.336
AndII,V026,0.617
AndII,V027,0.6890000000000001
AndII,V028,0.455
AndII,V029,0.319
AndII,V030,0.605
AndII,V031,0.547
AndII,V032,0.777
AndII,V033,0.623
AndII,V034,0.39399999999999996
AndII,V035,0.635
AndII,V036,0.591
AndII,V037,0.62
AndII,V038,0.628
AndII,V039,0.613
AndII,V040,0.371
AndII,V041,0.35
AndII,V042,0.361
