151	c	51548.8155	0.3418011	21.35	21.125	20.842	20.374	...	0.584	0.465	0.293
153	ab	51548.4220	0.6603692	21.076	21.072	20.674	20.083	0.717	0.670	0.539	0.339
158	ab	51548.5230	0.6324566	20.902	20.785	20.330	19.642	0.715	0.625	0.458	0.288
159	ab	51548.5223	0.5751520	20.94	21.033	20.702	20.171	...	1.164	0.976	0.615
164	ab	51548.3880	0.6339196	21.38	21.095	20.718	20.104	...	0.709	0.569	0.359
165	ab	51548.6742	0.5790136	20.57	21.057	20.751	20.223	...	1.315	1.081	0.681
170	ab	51543.0033	0.59	21.06	21.04	20.79	20.26	...	...	...	...
171	ab	51542.6010	0.66	21.48	21.14	20.76	20.11	...	...	...	...
173	RGB	51549.1135	0.657779	20.79	19.573	18.542	17.25	...	0.095	0.094	...
174	ab	51548.5789	0.6531203	21.22	21.175	20.756	20.152	...	0.507	0.417	0.263
175	c	51548.8389	0.3923778	21.23	21.068	20.739	20.263	...	0.532	0.454	0.286
176	ab	51549.4881	0.764565	21.33	21.160	20.715	20.061	...	0.264	0.212	0.133
178	AC	51549.0958	1.0155700	19.25	19.535	19.207	18.768	...	1.512	1.244	0.784
179	ab	51548.7597	0.6637945	21.26	21.155	20.719	20.081	...	0.247	0.196	0.124
181	c	51549.0010	0.2794913	21.16	20.996	20.781	20.350	...	0.095	0.076	0.048
182	ab	51548.1454	0.7889722	20.48	20.588	20.178	19.571	...	0.380	0.323	0.204
183	ab	51548.7509	0.612302	21.21	20.963	20.596	20.013	...	0.615	0.508	0.320
184	c	51548.4830	0.3951290	21.165	21.011	20.714	20.213	0.499	0.539	0.422	0.266
185	ab	51548.5511	0.6209146	21.31	21.097	20.731	20.155	...	0.871	0.678	0.427
187	AC	51549.0083	0.9502923	19.42	19.440	19.166	18.674	...	1.389	1.154	0.727
188	ab	51548.6637	0.5973773	21.19	21.019	20.665	20.143	...	1.290	1.127	0.710
189	ab	51548.8546	0.7023692	21.22	21.028	20.639	20.044	...	0.771	0.647	0.407
190	AC	51549.2923	1.1647103	19.622	19.478	19.137	18.547	0.848	1.546	1.294	0.815
191	ab	51548.7011	0.6502894	21.066	21.091	20.686	20.114	0.633	0.711	0.561	0.354
193	AC	51549.1506	0.4263580	19.68	19.530	19.284	18.900	...	0.172	0.131	0.082
194	FV	51549.2016	0.2645828	16.32	16.076	15.879	15.525	...	0.133	0.123	0.072
195	ab	51548.5576	0.6189680	21.18	21.140	20.769	20.143	...	0.646	0.483	0.304
196	ab	51548.2819	0.665989	21.213	21.081	20.676	20.132	0.740	0.500	0.410	0.258
197	c	51548.7640	0.2961717	21.24	20.959	20.739	20.331	...	0.390	0.312	0.197
199	ab	51548.1840	0.769925	20.976	20.999	20.574	19.942	0.322	0.485	0.406	0.256
200	ab	51548.5254	0.6373468	21.24	21.156	20.738	20.101	...	0.359	0.289	0.182
201	ab	51548.5885	0.7222435	21.32	21.133	20.730	20.084	...	0.762	0.632	0.398
203	AC	51549.2587	0.9398875	19.924	19.820	19.427	18.838	0.736	1.052	0.812	0.511
204	ab	51548.8631	0.6332687	21.40	21.121	20.725	20.094	...	0.654	0.545	0.344
205	AC	51549.1382	0.3833676	20.189	19.891	19.668	19.281	0.399	0.156	0.145	0.091
206	Bl	51548.5382	0.587812	21.48	21.069	20.700	20.113	...	1.192	1.053	0.664
208	ab	52352.0043	0.656594	21.39	21.125	20.721	20.073	...	0.619	0.484	0.305
214	Bl	52352.3784	0.6391863	21.17	21.031	20.674	20.077	...	1.041	0.753	0.475
216	AC	51549.6831	1.079230	19.32	19.258	18.853	18.201	...	0.427	0.303	0.191
217	AC	51549.7742	0.9109459	18.71	18.864	18.600	18.156	...	0.839	0.676	0.425
218	AC	52351.7154	1.0086934	20.44	20.141	19.742	19.224	...	0.571	0.485	0.305
219	AC	52352.9984	1.365517	19.58	19.277	18.879	18.252	...	0.476	0.387	0.244
220	EB	51548.7085	0.37264174	15.59	15.364	14.681	13.872	...	0.733	0.750	0.663
221	WUma	51549.0298	1.783454	22.01	20.551	19.228	17.43	...	0.165	0.150	...
222	LP	51519.2828	329	21.70	19.35	17.42	15.66	...	...	...	...
223	ab	52352.8734	0.660937	21.24	21.105	20.715	20.061	...	0.309	0.257	0.162
224	LP	52401.0706	685	20.10	21.05	20.47	19.83	...	...	...	...
226	ab	51549.3101	0.669846	21.12	21.086	20.698	20.082	...	0.432	0.322	0.203
227	ab	51550.7387	0.5594254	...	21.265	20.940	20.274	...	0.876	0.607	0.382
228	ab	51548.2822	0.6290089	20.86	21.082	20.713	20.083	...	0.600	0.500	0.315
229	ab	51548.3681	0.6626030	21.02	21.085	20.681	20.072	...	0.449	0.342	0.235
230	AC	52351.3174	1.0025734	19.73	19.580	19.2546	18.663	...	1.353	1.074	0.677
231	EB	51549.5699	2.3831781	21.19	21.36	21.23	20.97	...	...	...	...
232	EB	51548.7853	0.4142902	17.28	16.44	15.44	14.14	...	...	...	...
233	EB	51548.8868	0.6378688	22.48	22.37	22.26	22.14	...	...	...	...
234	EB	51548.4601	0.5274709	24.44	22.59	21.14	18.99	...	...	...	...
235	EB	51548.6759	0.6539230	18.54	18.43	17.74	16.89	...	...	...	...
236	EB	51548.7125	0.3747540	22.35	22.41	22.35	22.32	...	...	...	...
237	EB	51548.7915	0.4083364	22.03	22.003	21.761	21.49	...	0.323	0.314	...
