0.93 73.03 1.57   NML N  G 2.7 Y W_H F 3.3 2279 Z -0.12 0.07 -3.25  0.01             S 0.0233 -19.25 0.71135 A
1.12 71.41 1.80   NML 10 G 2.7 Y W_H F 3.3 1317 Z -0.16 0.08 -3.26  0.03             S 0.0233 -19.30 0.71135 A
0.91 72.82 1.57   NML 60 G 2.7 Y W_H F 3.3 2179 Z -0.17 0.07 -3.25  0.01             S 0.0233 -19.26 0.71135 A
1.06 74.54 1.72   NML Y  G 2.7 Y H   F 3.3 2239 Z -0.09 0.07 -3.06  0.02 -3.17  0.02 S 0.0233 -19.21 0.71135 A
0.94 73.06 1.59   NML Y  G 2.7 Y W_H F 3.3 2280 Z            -3.26  0.02 -3.25  0.02 S 0.0233 -19.25 0.71135 A
0.93 73.05 1.59   NML Y  G 2.7 Y W_H F 3.3 2279 Z -0.12 0.07 -3.25  0.02 -3.25  0.02 S 0.01   -19.25 0.71155 A
0.93 74.89 1.72   NML Y  G 2.7 Y W_H F 3.3 2278 Z -0.06 0.07 -3.27  0.02 -3.25  0.02 M 0.0233 -19.16 0.70326 A
0.94 74.15 1.61   NML Y  G 2.7 N W_H F 3.3 2416 Z -0.15 0.07 -3.21  0.02 -3.26  0.02 S 0.0233 -19.22 0.71135 A
0.93 73.40 1.62   NML Y  G 2.7 Y W_H F 3.3 2279 B -0.11 0.09 -3.25  0.02 -3.25  0.02 S 0.0233 -19.24 0.71135 A
0.93 73.36 1.66   NML Y  G 2.7 Y W_H F 3.3 2279 Z -0.12 0.07 -3.25  0.02 -3.25  0.02 S 0.0233 -19.25 0.71340 S
0.93 74.38 1.76   NML Y  G 2.7 Y W_H F 3.3 2278 Z -0.06 0.07 -3.27  0.02 -3.25  0.02 M 0.0233 -19.16 0.70031 S
0.93 73.45 1.72   NML Y  G 2.7 Y W_H F 3.3 2279 Z -0.12 0.07 -3.25  0.02 -3.25  0.02 S 0.01   -19.25 0.71394 L
0.93 73.88 1.76   NML Y  G 2.7 Y W_H F 3.3 2279 Z -0.12 0.07 -3.25  0.02 -3.25  0.02 S 0.0233 -19.25 0.71645 L
0.92 73.79 1.72   NM  Y  1 2.7 Y W_H F 3.3 2275 Z -0.16 0.07 -3.26  0.02 -3.25  0.02 S 0.0233 -19.23 0.71135 A
0.93 73.77 1.73   NM  Y  G 2.7 Y W_H F 3.3 2278 Z -0.14 0.07 -3.25  0.02 -3.25  0.02 S 0.0233 -19.23 0.71135 A
0.87 73.45 1.70   NM  Y  I 2.7 Y W_H F 3.3 2278 Z -0.13 0.07 -3.31  0.02 -3.22  0.02 S 0.0233 -19.24 0.71135 A
1.28 73.98 2.03   NM  Y  G     Y W_H F 3.3 2343 Z -0.12 0.08 -3.26  0.02 -3.24  0.02 S 0.0233 -19.22 0.71135 A
1.10 74.06 1.88   NM  Y  G 3.5 Y W_H F 3.3 2319 Z -0.17 0.08 -3.25  0.02 -3.25  0.02 S 0.0233 -19.22 0.71135 A
1.09 74.03 1.88   NM  Y  1 3.5 Y W_H F 3.3 2318 Z -0.17 0.08 -3.25  0.02 -3.25  0.02 S 0.0233 -19.22 0.71135 A
0.92 73.30 1.74   NM  Y  I 3.5 Y W_H F 3.3 2318 Z -0.12 0.07 -3.30  0.02 -3.22  0.02 S 0.0233 -19.24 0.71135 A
1.11 73.81 1.88   NM  Y  G 3.5 Y W_H F 2.5 2320 Z -0.17 0.08 -3.25  0.02 -3.24  0.02 S 0.0233 -19.23 0.71135 A
0.92 73.79 1.73   NM  Y  G 2.7 Y W_H C 3.3 2277 Z -0.16 0.07 -3.28  0.02 -3.27  0.02 S 0.0233 -19.23 0.71135 A
0.95 73.92 1.75   NM  Y  G 2.7 Y W_H N 3.3 2277 Z -0.14 0.07 -3.24  0.02 -3.24  0.02 S 0.0233 -19.22 0.71135 A
0.93 73.77 1.72   NM  N  G 2.7 Y W_H F 3.3 2278 Z -0.14 0.07 -3.25  0.01             S 0.0233 -19.23 0.71135 A
1.12 71.14 2.16   NM  10 G 2.7 Y W_H F 3.3 1316 Z -0.15 0.08 -3.26  0.03             S 0.0233 -19.31 0.71135 A
0.91 73.74 1.72   NM  60 G 2.7 Y W_H F 3.3 2179 Z -0.22 0.08 -3.25  0.01             S 0.0233 -19.23 0.71135 A
1.06 75.32 1.88   NM  Y  G 2.7 Y H   F 3.3 2239 Z -0.12 0.07 -3.07  0.02 -3.17  0.02 S 0.0233 -19.18 0.71135 A
0.94 73.45 1.72   NM  Y  G 2.7 Y W_H F 3.3 2279 Z            -3.26  0.02 -3.25  0.02 S 0.0233 -19.24 0.71135 A
0.93 73.81 1.73   NM  Y  G 2.7 Y W_H F 3.3 2278 Z -0.14 0.07 -3.25  0.02 -3.25  0.02 S 0.01   -19.23 0.71155 A
0.94 75.50 1.86   NM  Y  G 2.7 Y W_H F 3.3 2278 Z -0.10 0.07 -3.27  0.02 -3.25  0.02 M 0.0233 -19.14 0.70326 A
0.93 75.03 1.76   NM  Y  G 2.7 N W_H F 3.3 2415 Z -0.19 0.07 -3.21  0.02 -3.26  0.02 S 0.0233 -19.19 0.71135 A
0.93 74.33 1.82   NM  Y  G 2.7 Y W_H F 3.3 2278 B -0.16 0.10 -3.25  0.02 -3.25  0.02 S 0.0233 -19.21 0.71135 A
0.93 74.12 1.80   NM  Y  G 2.7 Y W_H F 3.3 2278 Z -0.14 0.07 -3.25  0.02 -3.25  0.02 S 0.0233 -19.23 0.71340 S
0.94 74.99 1.90   NM  Y  G 2.7 Y W_H F 3.3 2278 Z -0.10 0.07 -3.27  0.02 -3.25  0.02 M 0.0233 -19.14 0.70031 S
0.93 74.22 1.86   NM  Y  G 2.7 Y W_H F 3.3 2278 Z -0.14 0.07 -3.25  0.02 -3.25  0.02 S 0.01   -19.23 0.71394 L
0.93 74.65 1.90   NM  Y  G 2.7 Y W_H F 3.3 2278 Z -0.14 0.07 -3.25  0.02 -3.25  0.02 S 0.0233 -19.23 0.71645 L
0.92 71.39 1.67   NL  Y  1 2.7 Y W_H F 3.3 2276 Z -0.18 0.07 -3.26  0.02 -3.25  0.02 S 0.0233 -19.30 0.71135 A
0.93 71.62 1.68   NL  Y  G 2.7 Y W_H F 3.3 2279 Z -0.15 0.07 -3.25  0.02 -3.25  0.02 S 0.0233 -19.29 0.71135 A
0.87 71.36 1.65   NL  Y  I 2.7 Y W_H F 3.3 2279 Z -0.13 0.07 -3.31  0.02 -3.22  0.02 S 0.0233 -19.30 0.71135 A
1.28 71.90 1.97   NL  Y  G     Y W_H F 3.3 2344 Z -0.13 0.08 -3.25  0.02 -3.24  0.02 S 0.0233 -19.28 0.71135 A
1.09 71.78 1.83   NL  Y  G 3.5 Y W_H F 3.3 2320 Z -0.18 0.07 -3.25  0.02 -3.25  0.02 S 0.0233 -19.29 0.71135 A
1.09 71.75 1.82   NL  Y  1 3.5 Y W_H F 3.3 2319 Z -0.18 0.07 -3.25  0.02 -3.25  0.02 S 0.0233 -19.29 0.71135 A
0.92 71.28 1.69   NL  Y  I 3.5 Y W_H F 3.3 2319 Z -0.12 0.07 -3.29  0.02 -3.22  0.02 S 0.0233 -19.30 0.71135 A
1.10 71.53 1.83   NL  Y  G 3.5 Y W_H F 2.5 2321 Z -0.17 0.07 -3.24  0.02 -3.25  0.02 S 0.0233 -19.30 0.71135 A
0.92 71.57 1.67   NL  Y  G 2.7 Y W_H C 3.3 2278 Z -0.18 0.07 -3.27  0.02 -3.27  0.02 S 0.0233 -19.29 0.71135 A
0.94 71.63 1.70   NL  Y  G 2.7 Y W_H N 3.3 2278 Z -0.15 0.07 -3.23  0.02 -3.24  0.02 S 0.0233 -19.29 0.71135 A
0.93 71.61 1.67   NL  N  G 2.7 Y W_H F 3.3 2279 Z -0.15 0.07 -3.25  0.01             S 0.0233 -19.29 0.71135 A
1.13 70.98 1.84   NL  10 G 2.7 Y W_H F 3.3 1319 Z -0.19 0.08 -3.26  0.03             S 0.0233 -19.31 0.71135 A
0.91 71.20 1.66   NL  60 G 2.7 Y W_H F 3.3 2180 Z -0.24 0.08 -3.25  0.01             S 0.0233 -19.31 0.71135 A
1.06 73.07 1.82   NL  Y  G 2.7 Y H   F 3.3 2240 Z -0.13 0.07 -3.06  0.02 -3.17  0.02 S 0.0233 -19.25 0.71135 A
