Canes Venatici I, 13.1, 0.2, 0.043, -1.98, 0.01
Canes Venatici II, 16.1, 0.5, 0.027, -2.21, 0.05
Hercules, 14.0, 0.3, 0.171, -2.41, 0.04
Leo IV, 15.1, 0.4, 0.069, -2.54, 0.07
Sagittarius II, 13.83, 0.1, 0.302, -2.1, 0.3
Segue II, 15.2, 0.3, 0.507, -2.00, 0.25
Ursa Major I, 14.4, 0.3, 0.054, -2.18, 0.04
Ursa Major II, 13.3, 0.5, 0.257, -2.47, 0.06
