Galaxy,Star,HJD-2400000.0,Magnitude,Uncertainty in Magnitude,Passband
AndI,V005,57268.890625,25.718000000000004,0.038,F475W
AndI,V005,57269.41796900001,25.807,0.06,F475W
AndI,V005,57269.33984400001,25.713,0.037000000000000005,F475W
AndI,V005,57269.539062,25.787,0.065,F475W
AndI,V005,57268.80859400001,25.636,0.066,F475W
AndI,V005,57269.617188,25.938000000000002,0.068,F475W
AndI,V005,57270.46484400001,25.599,0.087,F475W
AndI,V005,57270.54296900001,25.738000000000003,0.071,F475W
AndI,V005,57270.664062,25.823,0.084,F475W
AndI,V005,57270.742188,25.82,0.063,F475W
AndI,V005,57271.66015599999,25.588,0.06,F475W
AndI,V005,57271.73828099999,25.761999999999997,0.07200000000000001,F475W
AndI,V005,57266.44140599999,24.736,0.075,F814W
AndI,V005,57266.484375,24.729,0.087,F814W
AndI,V005,57266.70703099999,25.033,0.063,F814W
AndI,V005,57266.75,24.691999999999997,0.065,F814W
AndI,V005,57267.43359400001,24.521,0.047,F814W
AndI,V005,57267.48046900001,24.543000000000003,0.045,F814W
AndI,V005,57267.69921900001,24.885,0.069,F814W
AndI,V005,57267.74609400001,24.818,0.09300000000000001,F814W
AndI,V005,57268.296875,24.634,0.129,F814W
AndI,V005,57268.33984400001,24.961,0.07200000000000001,F814W
AndI,V005,57268.82421900001,24.840999999999998,0.086,F814W
AndI,V005,57268.875,24.833000000000002,0.068,F814W
AndI,V005,57269.35546900001,24.703000000000003,0.067,F814W
AndI,V005,57269.40234400001,24.871,0.062,F814W
AndI,V005,57269.554688,24.794,0.071,F814W
AndI,V005,57269.601562,24.9,0.106,F814W
AndI,V005,57270.48046900001,24.805,0.09300000000000001,F814W
AndI,V005,57270.52734400001,24.873,0.08,F814W
AndI,V005,57270.679688,24.939,0.071,F814W
AndI,V005,57270.726562,24.910999999999998,0.10099999999999999,F814W
AndI,V005,57271.67578099999,24.816999999999997,0.081,F814W
AndI,V005,57271.71875,24.889,0.059000000000000004,F814W
AndI,V006,57266.42578099999,25.618000000000002,0.061,F475W
AndI,V006,57266.5,25.734,0.057,F475W
AndI,V006,57266.69140599999,25.119,0.05,F475W
AndI,V006,57266.765625,25.473000000000003,0.047,F475W
AndI,V006,57267.41796900001,25.465,0.052000000000000005,F475W
AndI,V006,57267.49609400001,25.599,0.055999999999999994,F475W
AndI,V006,57267.68359400001,25.009,0.038,F475W
AndI,V006,57267.76171900001,25.368000000000002,0.04,F475W
AndI,V006,57268.28125,25.889,0.047,F475W
AndI,V006,57268.35546900001,25.559,0.061,F475W
AndI,V006,57268.890625,25.535,0.055999999999999994,F475W
AndI,V006,57269.41796900001,25.548000000000002,0.044000000000000004,F475W
AndI,V006,57269.33984400001,25.883000000000003,0.048,F475W
AndI,V006,57269.539062,25.189,0.037000000000000005,F475W
AndI,V006,57268.80859400001,25.373,0.061,F475W
AndI,V006,57269.617188,25.65,0.057,F475W
AndI,V006,57270.46484400001,25.125,0.036000000000000004,F475W
AndI,V006,57270.54296900001,25.053,0.048,F475W
AndI,V006,57270.664062,25.565,0.068,F475W
AndI,V006,57270.742188,25.673000000000002,0.131,F475W
AndI,V006,57271.66015599999,25.44,0.062,F475W
AndI,V006,57271.73828099999,25.724,0.063,F475W
AndI,V006,57266.44140599999,24.897,0.10400000000000001,F814W
AndI,V006,57266.484375,24.908,0.06,F814W
AndI,V006,57266.70703099999,24.682,0.054000000000000006,F814W
AndI,V006,57266.75,24.776999999999997,0.055,F814W
AndI,V006,57267.43359400001,24.693,0.07,F814W
AndI,V006,57267.48046900001,24.904,0.067,F814W
AndI,V006,57267.69921900001,24.558000000000003,0.055,F814W
AndI,V006,57267.74609400001,24.693,0.125,F814W
AndI,V006,57268.296875,25.039,0.11900000000000001,F814W
AndI,V006,57268.33984400001,24.954,0.087,F814W
AndI,V006,57268.82421900001,24.813000000000002,0.079,F814W
AndI,V006,57268.875,24.861,0.057,F814W
AndI,V006,57269.35546900001,25.026999999999997,0.081,F814W
AndI,V006,57269.40234400001,24.916,0.071,F814W
AndI,V006,57269.554688,24.659000000000002,0.069,F814W
AndI,V006,57269.601562,24.831999999999997,0.091,F814W
AndI,V006,57270.48046900001,24.522,0.047,F814W
AndI,V006,57270.52734400001,24.574,0.076,F814W
AndI,V006,57270.679688,24.974,0.10300000000000001,F814W
AndI,V006,57270.726562,25.105999999999998,0.096,F814W
AndI,V006,57271.67578099999,24.764,0.07200000000000001,F814W
AndI,V006,57271.71875,24.941999999999997,0.11900000000000001,F814W
AndI,V007,57266.42578099999,25.158,0.053,F475W
AndI,V007,57266.5,25.201,0.076,F475W
AndI,V007,57266.69140599999,25.662,0.057999999999999996,F475W
AndI,V007,57266.765625,25.660999999999998,0.083,F475W
AndI,V007,57267.41796900001,25.445,0.087,F475W
AndI,V007,57267.49609400001,25.599,0.063,F475W
AndI,V007,57267.68359400001,25.451999999999998,0.038,F475W
AndI,V007,57267.76171900001,25.609,0.068,F475W
AndI,V007,57268.28125,24.842,0.07200000000000001,F475W
AndI,V007,57268.35546900001,25.228,0.052000000000000005,F475W
AndI,V007,57268.890625,25.590999999999998,0.085,F475W
AndI,V007,57269.41796900001,25.416,0.040999999999999995,F475W
AndI,V007,57269.33984400001,25.173000000000002,0.045,F475W
AndI,V007,57269.539062,25.772,0.069,F475W
AndI,V007,57268.80859400001,25.459,0.078,F475W
AndI,V007,57269.617188,25.649,0.065,F475W
AndI,V007,57270.46484400001,25.406999999999996,0.055999999999999994,F475W
AndI,V007,57270.54296900001,25.56,0.06,F475W
AndI,V007,57270.664062,25.476999999999997,0.046,F475W
AndI,V007,57270.742188,25.017,0.065,F475W
AndI,V007,57271.66015599999,25.514,0.085,F475W
AndI,V007,57271.73828099999,25.559,0.044000000000000004,F475W
AndI,V007,57266.44140599999,24.759,0.086,F814W
AndI,V007,57266.484375,24.666999999999998,0.08900000000000001,F814W
AndI,V007,57266.70703099999,24.914,0.344,F814W
AndI,V007,57266.75,25.112,0.109,F814W
AndI,V007,57267.43359400001,24.838,0.07200000000000001,F814W
AndI,V007,57267.48046900001,24.736,0.098,F814W
AndI,V007,57267.69921900001,24.893,0.11800000000000001,F814W
AndI,V007,57267.74609400001,24.969,0.134,F814W
AndI,V007,57268.296875,24.564,0.10300000000000001,F814W
AndI,V007,57268.33984400001,24.605999999999998,0.08800000000000001,F814W
AndI,V007,57268.82421900001,24.754,0.114,F814W
AndI,V007,57268.875,24.824,0.106,F814W
AndI,V007,57269.35546900001,24.662,0.122,F814W
AndI,V007,57269.40234400001,24.875,0.091,F814W
AndI,V007,57269.554688,25.017,0.10300000000000001,F814W
AndI,V007,57269.601562,24.923000000000002,0.111,F814W
AndI,V007,57270.48046900001,24.807,0.08900000000000001,F814W
AndI,V007,57270.52734400001,24.725,0.076,F814W
AndI,V007,57270.679688,24.791,0.071,F814W
AndI,V007,57270.726562,24.643,0.126,F814W
AndI,V007,57271.67578099999,24.633000000000003,0.149,F814W
AndI,V007,57271.71875,24.801,0.128,F814W
AndI,V008,57266.42578099999,25.340999999999998,0.051,F475W
AndI,V008,57266.5,25.044,0.10800000000000001,F475W
AndI,V008,57266.69140599999,25.389,0.059000000000000004,F475W
AndI,V008,57266.765625,25.435,0.049,F475W
AndI,V008,57267.41796900001,25.428,0.064,F475W
AndI,V008,57267.49609400001,25.476999999999997,0.055,F475W
AndI,V008,57267.68359400001,25.308000000000003,0.051,F475W
AndI,V008,57267.76171900001,25.156,0.044000000000000004,F475W
AndI,V008,57268.28125,25.531,0.069,F475W
AndI,V008,57268.35546900001,25.421,0.057999999999999996,F475W
AndI,V008,57268.890625,25.38,0.066,F475W
AndI,V008,57269.41796900001,25.174,0.067,F475W
AndI,V008,57269.33984400001,25.194000000000003,0.068,F475W
AndI,V008,57269.539062,25.288,0.049,F475W
AndI,V008,57268.80859400001,25.285999999999998,0.062,F475W
AndI,V008,57269.617188,25.144000000000002,0.155,F475W
AndI,V008,57270.46484400001,25.396,0.055999999999999994,F475W
AndI,V008,57270.54296900001,25.465,0.067,F475W
AndI,V008,57270.664062,25.522,0.048,F475W
AndI,V008,57270.742188,25.307,0.055999999999999994,F475W
AndI,V008,57271.66015599999,25.129,0.052000000000000005,F475W
AndI,V008,57271.73828099999,25.217,0.035,F475W
AndI,V008,57266.44140599999,24.399,0.066,F814W
AndI,V008,57266.484375,24.502,0.049,F814W
AndI,V008,57266.70703099999,24.54,0.077,F814W
AndI,V008,57266.75,24.522,0.059000000000000004,F814W
AndI,V008,57267.43359400001,24.475,0.075,F814W
AndI,V008,57267.48046900001,24.465999999999998,0.068,F814W
AndI,V008,57267.69921900001,24.326999999999998,0.057999999999999996,F814W
AndI,V008,57267.74609400001,24.311999999999998,0.129,F814W
AndI,V008,57268.296875,24.509,0.064,F814W
AndI,V008,57268.33984400001,24.596,0.083,F814W
AndI,V008,57268.82421900001,24.514,0.078,F814W
AndI,V008,57268.875,24.54,0.053,F814W
AndI,V008,57269.35546900001,24.294,0.09300000000000001,F814W
AndI,V008,57269.40234400001,24.386,0.081,F814W
AndI,V008,57269.554688,24.301,0.069,F814W
AndI,V008,57269.601562,24.389,0.102,F814W
AndI,V008,57270.48046900001,24.565,0.054000000000000006,F814W
AndI,V008,57270.52734400001,24.47,0.078,F814W
AndI,V008,57270.679688,24.548000000000002,0.07200000000000001,F814W
AndI,V008,57270.726562,24.594,0.08800000000000001,F814W
AndI,V008,57271.67578099999,24.309,0.066,F814W
AndI,V008,57271.71875,24.363000000000003,0.073,F814W
AndI,V009,57266.42578099999,25.182,0.055,F475W
AndI,V009,57266.5,25.52,0.054000000000000006,F475W
AndI,V009,57266.69140599999,25.146,0.066,F475W
AndI,V009,57266.765625,25.274,0.059000000000000004,F475W
AndI,V009,57267.41796900001,25.204,0.066,F475W
AndI,V009,57267.49609400001,25.298000000000002,0.054000000000000006,F475W
AndI,V009,57267.68359400001,25.499000000000002,0.055999999999999994,F475W
AndI,V009,57267.76171900001,25.090999999999998,0.059000000000000004,F475W
AndI,V009,57268.28125,25.469,0.051,F475W
AndI,V009,57268.35546900001,25.596999999999998,0.069,F475W
AndI,V009,57268.890625,25.189,0.066,F475W
AndI,V009,57269.41796900001,25.607,0.069,F475W
AndI,V009,57269.33984400001,25.619,0.076,F475W
AndI,V009,57269.539062,25.127,0.068,F475W
AndI,V009,57268.80859400001,25.221999999999998,0.057999999999999996,F475W
AndI,V009,57269.617188,25.241999999999997,0.07200000000000001,F475W
AndI,V009,57270.46484400001,25.599,0.06,F475W
AndI,V009,57270.54296900001,25.267,0.057,F475W
AndI,V009,57270.664062,25.323,0.059000000000000004,F475W
AndI,V009,57270.742188,25.568,0.057,F475W
AndI,V009,57271.66015599999,25.058000000000003,0.068,F475W
AndI,V009,57271.73828099999,25.273000000000003,0.035,F475W
AndI,V009,57266.44140599999,24.656999999999996,0.09,F814W
AndI,V009,57266.484375,24.664,0.08800000000000001,F814W
AndI,V009,57266.70703099999,24.57,0.066,F814W
AndI,V009,57266.75,24.63,0.086,F814W
AndI,V009,57267.43359400001,24.65,0.08800000000000001,F814W
AndI,V009,57267.48046900001,24.664,0.068,F814W
AndI,V009,57267.69921900001,24.68,0.099,F814W
AndI,V009,57267.74609400001,24.631999999999998,0.06,F814W
AndI,V009,57268.296875,24.701,0.083,F814W
AndI,V009,57268.33984400001,24.87,0.10099999999999999,F814W
AndI,V009,57268.82421900001,24.65,0.094,F814W
AndI,V009,57268.875,24.72,0.11199999999999999,F814W
AndI,V009,57269.35546900001,24.736,0.106,F814W
AndI,V009,57269.40234400001,24.979,0.111,F814W
AndI,V009,57269.554688,24.441999999999997,0.096,F814W
AndI,V009,57269.601562,24.659000000000002,0.10099999999999999,F814W
AndI,V009,57270.48046900001,24.853,0.111,F814W
AndI,V009,57270.52734400001,24.774,0.087,F814W
AndI,V009,57270.679688,24.616999999999997,0.069,F814W
AndI,V009,57270.726562,24.879,0.136,F814W
AndI,V009,57271.67578099999,24.829,0.10800000000000001,F814W
AndI,V009,57271.71875,24.708000000000002,0.129,F814W
AndI,V010,57266.42578099999,25.04,0.06,F475W
AndI,V010,57266.5,25.357,0.057999999999999996,F475W
AndI,V010,57266.69140599999,25.677,0.059000000000000004,F475W
AndI,V010,57266.765625,25.715,0.069,F475W
AndI,V010,57267.41796900001,25.785,0.092,F475W
AndI,V010,57267.49609400001,25.057,0.131,F475W
AndI,V010,57267.68359400001,25.432,0.051,F475W
AndI,V010,57267.76171900001,25.605999999999998,0.065,F475W
AndI,V010,57268.28125,25.462,0.053,F475W
AndI,V010,57268.35546900001,25.647,0.08,F475W
AndI,V010,57268.890625,25.432,0.066,F475W
AndI,V010,57269.41796900001,25.394000000000002,0.055,F475W
AndI,V010,57269.33984400001,25.119,0.055999999999999994,F475W
AndI,V010,57269.539062,25.616,0.084,F475W
AndI,V010,57268.80859400001,25.219,0.059000000000000004,F475W
AndI,V010,57269.617188,25.689,0.085,F475W
AndI,V010,57270.46484400001,24.901999999999997,0.038,F475W
AndI,V010,57270.54296900001,25.252,0.051,F475W
AndI,V010,57270.664062,25.726999999999997,0.06,F475W
AndI,V010,57270.742188,25.399,0.081,F475W
AndI,V010,57271.66015599999,25.096999999999998,0.067,F475W
AndI,V010,57271.73828099999,25.381999999999998,0.07200000000000001,F475W
AndI,V010,57266.44140599999,24.518,0.083,F814W
AndI,V010,57266.484375,24.563000000000002,0.098,F814W
AndI,V010,57266.70703099999,24.767,0.096,F814W
AndI,V010,57266.75,24.801,0.07400000000000001,F814W
AndI,V010,57267.43359400001,25.011,0.175,F814W
AndI,V010,57267.48046900001,24.513,0.09300000000000001,F814W
AndI,V010,57267.69921900001,24.636,0.067,F814W
AndI,V010,57267.74609400001,24.677,0.10300000000000001,F814W
AndI,V010,57268.296875,24.711,0.091,F814W
AndI,V010,57268.33984400001,24.691999999999997,0.068,F814W
AndI,V010,57268.82421900001,24.522,0.048,F814W
AndI,V010,57268.875,24.561999999999998,0.07,F814W
AndI,V010,57269.35546900001,24.397,0.064,F814W
AndI,V010,57269.40234400001,24.604,0.078,F814W
AndI,V010,57269.554688,24.663,0.115,F814W
AndI,V010,57269.601562,24.684,0.14400000000000002,F814W
AndI,V010,57270.48046900001,24.451999999999998,0.08199999999999999,F814W
AndI,V010,57270.52734400001,24.584,0.052000000000000005,F814W
AndI,V010,57270.679688,24.846999999999998,0.075,F814W
AndI,V010,57270.726562,24.824,0.157,F814W
AndI,V010,57271.67578099999,24.403000000000002,0.076,F814W
AndI,V010,57271.71875,24.51,0.083,F814W
AndI,V011,57266.42578099999,25.919,0.09699999999999999,F475W
AndI,V011,57266.5,24.91,0.14300000000000002,F475W
AndI,V011,57266.69140599999,25.674,0.062,F475W
AndI,V011,57266.765625,25.953000000000003,0.057999999999999996,F475W
AndI,V011,57267.41796900001,25.81,0.062,F475W
AndI,V011,57267.49609400001,24.866999999999997,0.187,F475W
AndI,V011,57267.68359400001,25.795,0.068,F475W
AndI,V011,57267.76171900001,26.066999999999997,0.09699999999999999,F475W
AndI,V011,57268.28125,25.994,0.06,F475W
AndI,V011,57268.35546900001,25.93,0.046,F475W
AndI,V011,57268.890625,24.644000000000002,0.19899999999999998,F475W
AndI,V011,57269.41796900001,24.795,0.059000000000000004,F475W
AndI,V011,57269.33984400001,25.563000000000002,0.064,F475W
AndI,V011,57269.539062,25.541999999999998,0.049,F475W
AndI,V011,57268.80859400001,25.933000000000003,0.071,F475W
AndI,V011,57269.617188,25.834,0.084,F475W
AndI,V011,57270.46484400001,25.509,0.054000000000000006,F475W
AndI,V011,57270.54296900001,25.735,0.078,F475W
AndI,V011,57270.664062,25.863000000000003,0.073,F475W
AndI,V011,57270.742188,25.874000000000002,0.061,F475W
AndI,V011,57271.66015599999,25.99,0.09300000000000001,F475W
AndI,V011,57271.73828099999,25.555999999999997,0.063,F475W
AndI,V011,57266.44140599999,25.107,0.122,F814W
AndI,V011,57266.484375,24.688000000000002,0.054000000000000006,F814W
AndI,V011,57266.70703099999,25.139,0.09300000000000001,F814W
AndI,V011,57266.75,25.015,0.086,F814W
AndI,V011,57267.43359400001,24.939,0.113,F814W
AndI,V011,57267.48046900001,24.401,0.08199999999999999,F814W
AndI,V011,57267.69921900001,25.101999999999997,0.091,F814W
AndI,V011,57267.74609400001,25.045,0.128,F814W
AndI,V011,57268.296875,25.163,0.115,F814W
AndI,V011,57268.33984400001,25.162,0.1,F814W
AndI,V011,57268.82421900001,25.178,0.125,F814W
AndI,V011,57268.875,24.772,0.096,F814W
AndI,V011,57269.35546900001,24.614,0.062,F814W
AndI,V011,57269.40234400001,24.343000000000004,0.048,F814W
AndI,V011,57269.554688,24.629,0.10099999999999999,F814W
AndI,V011,57269.601562,25.06,0.11800000000000001,F814W
AndI,V011,57270.48046900001,23.814,0.998,F814W
AndI,V011,57270.52734400001,25.0,0.10300000000000001,F814W
AndI,V011,57270.679688,25.07,0.07,F814W
